student_id,semester,gpa,credits
24,Spring 2021,2.931,13
24,Spring 2022,3.363,19
24,Spring 2023,3.047,19
25,Fall 2020,3.319,16
25,Fall 2021,2.485,13
25,Fall 2022,3.15,18
25,Fall 2023,3.225,16
25,Spring 2020,3.371,17
25,Spring 2021,3.179,14
25,Spring 2022,3.0,16
25,Spring 2023,3.111,19
26,Fall 2021,2.414,14
26,Fall 2022,2.165,20
26,Fall 2023,2.276,21
26,Fall 2024,2.445,22
26,Spring 2021,2.258,19
26,Spring 2022,2.267,15
26,Spring 2023,1.994,17
26,Spring 2024,2.105,20
27,Fall 2021,2.745,20
27,Fall 2022,2.509,23
27,Fall 2023,2.456,18
27,Fall 2024,2.319,16
27,Spring 2021,2.62,15
27,Spring 2022,2.327,15
27,Spring 2023,2.567,15
27,Spring 2024,2.647,17
28,Fall 2020,2.643,21
28,Fall 2021,2.06,15
28,Fall 2022,2.428,18
28,Fall 2023,2.544,18
28,Spring 2020,2.865,20
28,Spring 2021,2.7,21
28,Spring 2022,2.322,18
28,Spring 2023,2.465,17
29,Fall 2021,2.895,20
29,Fall 2022,2.835,20
29,Fall 2023,3.236,14
29,Fall 2024,3.414,14
29,Spring 2021,3.176,17
29,Spring 2022,3.14,20
29,Spring 2023,2.713,16
29,Spring 2024,2.786,21
30,Fall 2020,3.29,20
30,Fall 2021,3.22,15
30,Fall 2022,3.332,22
30,Fall 2023,3.043,14
30,Spring 2020,3.169,16
30,Spring 2021,3.0,24
30,Spring 2022,3.35,14
30,Spring 2023,3.347,15
31,Fall 2020,3.937,19
31,Fall 2021,3.862,13
31,Fall 2022,3.936,14
31,Fall 2023,4.0,17
31,Spring 2020,3.948,23
31,Spring 2021,3.806,17
31,Spring 2022,3.835,20
31,Spring 2023,3.677,13
32,Fall 2021,2.829,14
32,Fall 2022,3.294,18
32,Fall 2023,2.979,14
32,Fall 2024,3.0,22
32,Spring 2021,3.106,17
32,Spring 2022,2.953,15
32,Spring 2023,2.905,19
32,Spring 2024,3.14,15
33,Fall 2022,4.0,16
33,Fall 2023,3.937,19
33,Fall 2024,3.95,18
33,Fall 2025,4.0,16
33,Spring 2022,4.0,17
33,Spring 2023,4.0,16
33,Spring 2024,4.0,13
33,Spring 2025,3.94,20
34,Fall 2021,3.064,14
34,Fall 2022,2.793,15
34,Fall 2023,2.4,16
34,Fall 2024,2.824,17
34,Spring 2021,3.047,19
34,Spring 2022,3.092,13
34,Spring 2023,2.51,21
34,Spring 2024,2.883,18
35,Fall 2020,2.069,13
35,Fall 2021,2.053,17
35,Fall 2022,2.231,13
35,Fall 2023,2.38,15
35,Spring 2020,2.392,13
35,Spring 2021,2.288,17
35,Spring 2022,1.7,13
35,Spring 2023,2.264,22
36,Fall 2020,2.764,14
36,Fall 2021,2.65,22
36,Fall 2022,2.7,14
36,Fall 2023,2.769,16
36,Spring 2020,2.957,21
36,Spring 2021,3.063,19
36,Spring 2022,2.862,16
36,Spring 2023,3.0,19
37,Fall 2022,3.405,19
37,Fall 2023,3.323,13
37,Fall 2024,2.8,14
37,Fall 2025,3.162,13
37,Spring 2022,3.187,15
37,Spring 2023,3.067,18
37,Spring 2024,2.7,13
37,Spring 2025,3.423,13
38,Fall 2021,2.677,13
38,Fall 2022,2.745,20
38,Fall 2023,2.657,14
38,Fall 2024,2.482,17
38,Spring 2021,2.82,20
38,Spring 2022,2.81,21
38,Spring 2023,2.652,21
38,Spring 2024,2.335,20
39,Fall 2020,2.721,19
39,Fall 2021,2.824,17
39,Fall 2022,2.826,19
39,Fall 2023,2.525,12
39,Spring 2020,2.744,18
39,Spring 2021,2.85,20
39,Spring 2022,2.585,13
39,Spring 2023,2.877,13
40,Fall 2020,3.373,15
40,Fall 2021,3.367,15
40,Fall 2022,3.394,16
40,Fall 2023,3.0,20
40,Spring 2020,3.323,13
40,Spring 2021,3.067,18
40,Spring 2022,3.45,16
40,Spring 2023,3.14,15
41,Fall 2021,3.809,22
41,Fall 2022,3.65,14
41,Fall 2023,3.55,16
41,Fall 2024,3.608,13
41,Spring 2021,3.736,14
41,Spring 2022,3.605,20
41,Spring 2023,3.925,12
41,Spring 2024,3.3,20
42,Fall 2022,3.389,18
42,Fall 2023,3.283,18
42,Fall 2024,3.15,20
42,Fall 2025,3.475,16
42,Spring 2022,3.243,14
42,Spring 2023,2.9,18
42,Spring 2024,3.06,15
42,Spring 2025,3.306,16
43,Fall 2021,2.757,14
43,Fall 2022,2.15,12
43,Fall 2023,2.767,18
43,Fall 2024,2.35,14
43,Spring 2021,2.559,17
43,Spring 2022,2.24,15
43,Spring 2023,2.306,17
43,Spring 2024,2.876,17
44,Fall 2021,3.536,22
44,Fall 2022,3.643,21
44,Fall 2023,3.056,16
44,Fall 2024,3.112,17
44,Spring 2021,3.124,17
44,Spring 2022,3.211,19
44,Spring 2023,3.728,18
44,Spring 2024,3.165,20
45,Fall 2020,2.7,16
45,Fall 2021,2.56,20
45,Fall 2022,2.485,20
45,Fall 2023,2.325,12
45,Spring 2020,2.541,22
45,Spring 2021,2.753,17
45,Spring 2022,2.92,15
45,Spring 2023,2.559,17
46,Fall 2021,1.953,15
46,Fall 2022,2.652,21
46,Fall 2023,2.611,18
46,Fall 2024,2.554,13
46,Spring 2021,2.311,19
46,Spring 2022,2.415,13
46,Spring 2023,2.736,14
46,Spring 2024,2.414,14
47,Fall 2022,3.043,21
47,Fall 2023,3.083,18
47,Fall 2024,3.236,14
47,Fall 2025,3.157,21
47,Spring 2022,3.124,17
47,Spring 2023,2.831,16
47,Spring 2024,3.09,20
47,Spring 2025,2.813,16
48,Fall 2020,2.524,21
48,Fall 2021,1.94,15
48,Fall 2022,2.0,20
48,Fall 2023,2.15,20
48,Spring 2020,2.421,19
48,Spring 2021,2.525,12
48,Spring 2022,2.175,12
48,Spring 2023,2.129,14
49,Fall 2022,2.262,21
49,Fall 2023,2.392,13
49,Fall 2024,2.371,17
49,Fall 2025,2.3,16
49,Spring 2022,2.395,20
49,Spring 2023,2.5,21
49,Spring 2024,2.405,22
49,Spring 2025,2.286,14
50,Fall 2022,2.764,14
50,Fall 2023,2.914,14
50,Fall 2024,2.833,18
50,Fall 2025,2.824,17
50,Spring 2022,3.189,18
50,Spring 2023,3.167,15
50,Spring 2024,2.947,17
50,Spring 2025,2.68,15
51,Fall 2020,2.43,20
51,Fall 2021,2.491,22
51,Fall 2022,2.194,17
51,Fall 2023,2.392,13
51,Spring 2020,2.193,14
51,Spring 2021,2.214,14
51,Spring 2022,2.247,17
51,Spring 2023,2.271,14
52,Fall 2021,3.274,19
52,Fall 2022,2.933,24
52,Fall 2023,3.015,20
52,Fall 2024,3.117,18
52,Spring 2021,3.22,15
52,Spring 2022,2.94,15
52,Spring 2023,3.129,14
52,Spring 2024,3.131,16
53,Fall 2021,3.585,13
53,Fall 2022,3.742,19
53,Fall 2023,3.76,15
53,Fall 2024,3.64,20
53,Spring 2021,3.936,14
53,Spring 2022,3.78,15
53,Spring 2023,3.947,17
53,Spring 2024,3.511,19
54,Fall 2022,3.327,15
54,Fall 2023,2.757,21
54,Fall 2024,2.746,13
54,Fall 2025,2.867,21
54,Spring 2022,3.067,18
54,Spring 2023,3.272,18
54,Spring 2024,2.838,13
54,Spring 2025,3.079,19
55,Fall 2020,3.075,16
55,Fall 2021,3.3,18
55,Fall 2022,3.172,18
55,Fall 2023,3.176,21
55,Spring 2020,3.511,19
55,Spring 2021,3.375,16
55,Spring 2022,3.427,22
55,Spring 2023,3.413,16
56,Fall 2021,2.979,14
56,Fall 2022,2.977,22
56,Fall 2023,2.912,17
56,Fall 2024,3.3,13
56,Spring 2021,2.62,20
56,Spring 2022,2.665,20
56,Spring 2023,2.837,19
56,Spring 2024,2.373,22
57,Fall 2020,3.536,14
57,Fall 2021,3.671,14
57,Fall 2022,3.586,14
57,Fall 2023,3.423,13
57,Spring 2020,3.321,14
57,Spring 2021,3.71,20
57,Spring 2022,3.637,16
57,Spring 2023,3.547,15
58,Fall 2020,3.614,14
58,Fall 2021,3.135,20
58,Fall 2022,3.019,16
58,Fall 2023,3.156,18
58,Spring 2020,3.195,20
58,Spring 2021,3.035,17
58,Spring 2022,3.65,20
58,Spring 2023,3.636,14
59,Fall 2021,3.79,20
59,Fall 2022,3.955,20
59,Fall 2023,4.0,19
59,Fall 2024,4.0,21
59,Spring 2021,3.947,17
59,Spring 2022,4.0,16
59,Spring 2023,3.876,17
59,Spring 2024,3.85,20
60,Fall 2021,3.047,19
60,Fall 2022,3.319,16
60,Fall 2023,2.771,17
60,Fall 2024,2.838,13
60,Spring 2021,3.0,18
60,Spring 2022,3.138,13
60,Spring 2023,3.3,19
60,Spring 2024,3.37,20
61,Fall 2020,2.4,23
61,Fall 2021,2.329,14
61,Fall 2022,2.3,13
61,Fall 2023,2.745,20
61,Spring 2020,2.92,15
61,Spring 2021,2.857,21
61,Spring 2022,2.746,13
61,Spring 2023,2.681,16
62,Fall 2022,3.385,20
62,Fall 2023,3.231,13
62,Fall 2024,3.045,20
62,Fall 2025,2.752,21
62,Spring 2022,3.023,13
62,Spring 2023,2.886,14
62,Spring 2024,2.73,20
62,Spring 2025,2.908,13
63,Fall 2020,3.3,15
63,Fall 2021,3.792,13
63,Fall 2022,3.681,21
63,Fall 2023,3.683,18
63,Spring 2020,3.746,13
63,Spring 2021,3.673,15
63,Spring 2022,3.538,13
63,Spring 2023,3.629,17
64,Fall 2021,3.764,14
64,Fall 2022,3.553,19
64,Fall 2023,3.95,18
64,Fall 2024,3.726,19
64,Spring 2021,3.925,12
64,Spring 2022,3.7,14
64,Spring 2023,3.733,15
64,Spring 2024,3.673,15
65,Fall 2022,3.183,18
65,Fall 2023,2.895,20
65,Fall 2024,2.79,20
65,Fall 2025,2.845,22
65,Spring 2022,2.867,18
65,Spring 2023,3.105,20
65,Spring 2024,3.0,12
65,Spring 2025,2.62,15
66,Fall 2020,3.057,21
66,Fall 2021,2.687,15
66,Fall 2022,2.667,21
66,Fall 2023,3.272,18
66,Spring 2020,2.659,17
66,Spring 2021,3.0,16
66,Spring 2022,2.681,16
66,Spring 2023,2.86,15
67,Fall 2020,3.35,20
67,Fall 2021,3.494,17
67,Fall 2022,3.7,17
67,Fall 2023,3.179,14
67,Spring 2020,3.677,13
67,Spring 2021,3.659,17
67,Spring 2022,3.614,14
67,Spring 2023,3.728,18
68,Fall 2022,3.317,24
68,Fall 2023,3.49,21
68,Fall 2024,3.39,21
68,Fall 2025,3.394,17
68,Spring 2022,3.384,19
68,Spring 2023,3.436,14
68,Spring 2024,3.5,20
68,Spring 2025,3.415,13
69,Fall 2022,2.94,20
69,Fall 2023,3.205,21
69,Fall 2024,3.019,16
69,Fall 2025,2.764,14
69,Spring 2022,2.843,21
69,Spring 2023,2.682,22
69,Spring 2024,3.018,17
69,Spring 2025,3.0,16
70,Fall 2022,3.071,17
70,Fall 2023,2.767,21
70,Fall 2024,3.0,12
70,Fall 2025,2.854,13
70,Spring 2022,2.91,20
70,Spring 2023,2.79,20
70,Spring 2024,2.805,20
70,Spring 2025,3.236,14
71,Fall 2021,3.41,21
71,Fall 2022,3.2,14
71,Fall 2023,2.842,19
71,Fall 2024,3.0,14
71,Spring 2021,2.865,20
71,Spring 2022,3.106,17
71,Spring 2023,3.016,19
71,Spring 2024,3.127,22
72,Fall 2021,2.35,20
72,Fall 2022,2.318,17
72,Fall 2023,2.35,22
72,Fall 2024,2.176,21
72,Spring 2021,2.377,13
72,Spring 2022,2.344,16
72,Spring 2023,2.167,15
72,Spring 2024,2.127,15
73,Fall 2020,3.809,22
73,Fall 2021,3.319,16
73,Fall 2022,3.36,20
73,Fall 2023,2.982,17
73,Spring 2020,3.468,19
73,Spring 2021,3.167,18
73,Spring 2022,3.359,17
73,Spring 2023,3.105,20
74,Fall 2022,2.765,17
74,Fall 2023,2.438,16
74,Fall 2024,2.712,16
74,Fall 2025,2.335,20
74,Spring 2022,2.769,13
74,Spring 2023,2.736,14
74,Spring 2024,2.814,21
74,Spring 2025,3.191,22
75,Fall 2020,3.482,17
75,Fall 2021,3.593,15
75,Fall 2022,3.262,16
75,Fall 2023,3.267,15
75,Spring 2020,3.47,23
75,Spring 2021,3.481,21
75,Spring 2022,3.476,21
75,Spring 2023,3.124,17
76,Fall 2020,2.895,20
76,Fall 2021,2.85,20
76,Fall 2022,2.5,20
76,Fall 2023,2.44,20
76,Spring 2020,2.888,16
76,Spring 2021,2.745,20
76,Spring 2022,2.646,13
76,Spring 2023,2.428,18
77,Fall 2020,2.088,17
77,Fall 2021,2.586,14
77,Fall 2022,2.453,17
77,Fall 2023,2.39,21
77,Spring 2020,2.126,19
77,Spring 2021,2.2,14
77,Spring 2022,2.376,21
77,Spring 2023,2.075,16
78,Fall 2022,2.894,17
78,Fall 2023,2.575,12
78,Fall 2024,2.714,14
78,Fall 2025,2.517,18
78,Spring 2022,3.023,13
78,Spring 2023,2.667,21
78,Spring 2024,2.735,17
78,Spring 2025,2.988,17
79,Fall 2022,3.35,14
79,Fall 2023,3.389,18
79,Fall 2024,3.491,22
79,Fall 2025,3.29,21
79,Spring 2022,3.162,13
79,Spring 2023,3.386,14
79,Spring 2024,3.056,16
79,Spring 2025,3.046,13
80,Fall 2022,3.914,21
80,Fall 2023,3.769,13
80,Fall 2024,3.679,19
80,Fall 2025,3.76,15
80,Spring 2022,3.858,19
80,Spring 2023,4.0,14
80,Spring 2024,3.838,13
80,Spring 2025,4.0,12
81,Fall 2021,2.955,20
81,Fall 2022,2.867,18
81,Fall 2023,2.858,19
81,Fall 2024,2.567,18
81,Spring 2021,3.169,16
81,Spring 2022,2.815,20
81,Spring 2023,2.48,15
81,Spring 2024,2.478,18
82,Fall 2022,3.0,22
82,Fall 2023,2.82,15
82,Fall 2024,3.092,13
82,Fall 2025,2.86,15
82,Spring 2022,2.407,15
82,Spring 2023,2.953,19
82,Spring 2024,2.629,17
82,Spring 2025,2.867,21
83,Fall 2022,3.769,13
83,Fall 2023,3.85,14
83,Fall 2024,3.908,13
83,Fall 2025,3.944,16
83,Spring 2022,3.857,21
83,Spring 2023,3.858,19
83,Spring 2024,3.65,14
83,Spring 2025,4.0,12
84,Fall 2022,2.778,18
84,Fall 2023,2.485,13
84,Fall 2024,2.536,14
84,Fall 2025,2.7,14
84,Spring 2022,2.629,17
84,Spring 2023,2.673,15
84,Spring 2024,2.175,12
84,Spring 2025,2.677,13
85,Fall 2020,3.7,17
85,Fall 2021,3.605,20
85,Fall 2022,3.65,14
85,Fall 2023,3.629,17
85,Spring 2020,3.844,18
85,Spring 2021,3.8,14
85,Spring 2022,3.85,20
85,Spring 2023,3.86,15
86,Fall 2022,3.235,17
86,Fall 2023,2.656,16
86,Fall 2024,2.812,16
86,Fall 2025,2.935,17
86,Spring 2022,2.963,16
86,Spring 2023,2.833,18
86,Spring 2024,3.014,21
86,Spring 2025,3.214,14
87,Fall 2022,3.112,17
87,Fall 2023,3.535,17
87,Fall 2024,3.419,16
87,Fall 2025,3.1,18
87,Spring 2022,3.664,22
87,Spring 2023,3.764,14
87,Spring 2024,3.575,12
87,Spring 2025,2.871,14
88,Fall 2021,3.586,21
88,Fall 2022,3.321,19
88,Fall 2023,3.175,12
88,Fall 2024,2.94,15
88,Spring 2021,3.38,15
88,Spring 2022,3.0,16
88,Spring 2023,3.433,15
88,Spring 2024,3.4,14
89,Fall 2022,3.0,18
89,Fall 2023,2.981,21
89,Fall 2024,2.867,21
89,Fall 2025,3.0,16
89,Spring 2022,2.5,14
89,Spring 2023,2.778,18
89,Spring 2024,2.765,17
89,Spring 2025,2.835,20
90,Fall 2020,3.105,21
90,Fall 2021,2.931,13
90,Fall 2022,3.047,19
90,Fall 2023,3.045,20
90,Spring 2020,3.22,15
90,Spring 2021,3.185,20
90,Spring 2022,2.746,13
90,Spring 2023,3.0,17
91,Fall 2021,2.838,13
91,Fall 2022,3.067,21
91,Fall 2023,2.965,17
91,Fall 2024,3.187,15
91,Spring 2021,2.895,20
91,Spring 2022,2.678,18
91,Spring 2023,3.124,17
91,Spring 2024,3.071,17
92,Fall 2021,2.65,14
92,Fall 2022,2.786,14
92,Fall 2023,2.414,14
92,Fall 2024,2.448,21
92,Spring 2021,2.5,14
92,Spring 2022,2.286,14
92,Spring 2023,2.465,17
92,Spring 2024,3.0,13
93,Fall 2022,3.35,18
93,Fall 2023,3.053,17
93,Fall 2024,3.053,17
93,Fall 2025,3.056,16
93,Spring 2022,3.333,21
93,Spring 2023,2.769,13
93,Spring 2024,2.947,17
93,Spring 2025,3.0,20
94,Fall 2021,2.488,17
94,Fall 2022,3.0,22
94,Fall 2023,2.7,14
94,Fall 2024,2.94,20
94,Spring 2021,3.075,16
94,Spring 2022,3.056,18
94,Spring 2023,2.78,15
94,Spring 2024,2.775,16
95,Fall 2020,2.925,12
95,Fall 2021,2.194,17
95,Fall 2022,2.852,21
95,Fall 2023,2.506,16
95,Spring 2020,2.517,18
95,Spring 2021,2.614,14
95,Spring 2022,2.494,18
95,Spring 2023,2.682,22
96,Fall 2020,3.447,17
96,Fall 2021,3.319,21
96,Fall 2022,3.215,13
96,Fall 2023,3.236,14
96,Spring 2020,3.433,15
96,Spring 2021,3.183,18
96,Spring 2022,3.117,18
96,Spring 2023,3.468,19
97,Fall 2022,3.15,14
97,Fall 2023,3.047,15
97,Fall 2024,3.09,21
97,Fall 2025,3.35,12
97,Spring 2022,3.222,18
97,Spring 2023,3.063,19
97,Spring 2024,3.214,14
97,Spring 2025,3.162,13
98,Fall 2022,2.44,20
98,Fall 2023,2.419,16
98,Fall 2024,2.665,20
98,Fall 2025,2.695,20
98,Spring 2022,2.755,22
98,Spring 2023,2.685,20
98,Spring 2024,2.3,14
98,Spring 2025,2.425,12
99,Fall 2022,2.632,19
99,Fall 2023,2.467,15
99,Fall 2024,2.586,14
99,Fall 2025,2.457,14
99,Spring 2022,2.55,16
99,Spring 2023,2.544,18
99,Spring 2024,2.319,21
99,Spring 2025,2.685,20
100,Fall 2020,3.191,22
100,Fall 2021,2.728,18
100,Fall 2022,2.744,18
100,Fall 2023,3.176,21
100,Spring 2020,2.959,22
100,Spring 2021,2.908,13
100,Spring 2022,2.782,22
100,Spring 2023,3.021,14
101,Fall 2020,2.771,17
101,Fall 2021,3.0,16
101,Fall 2022,3.167,18
101,Fall 2023,2.735,17
101,Spring 2020,2.957,21
101,Spring 2021,3.06,20
101,Spring 2022,2.319,16
101,Spring 2023,2.94,20
102,Fall 2022,3.231,13
102,Fall 2023,3.25,18
102,Fall 2024,2.836,22
102,Fall 2025,2.65,20
102,Spring 2022,3.567,15
102,Spring 2023,3.163,19
102,Spring 2024,3.248,21
102,Spring 2025,3.046,13
103,Fall 2022,3.243,21
103,Fall 2023,2.957,14
103,Fall 2024,2.857,21
103,Fall 2025,3.2,20
103,Spring 2022,3.463,19
103,Spring 2023,3.386,14
103,Spring 2024,2.886,21
103,Spring 2025,2.621,19
104,Fall 2021,2.68,20
104,Fall 2022,2.955,20
104,Fall 2023,2.624,21
104,Fall 2024,2.8,17
104,Spring 2021,2.769,13
104,Spring 2022,2.9,21
104,Spring 2023,2.544,18
104,Spring 2024,2.824,17
105,Fall 2020,3.447,19
105,Fall 2021,2.876,17
105,Fall 2022,2.94,20
105,Fall 2023,2.71,21
105,Spring 2020,2.765,17
105,Spring 2021,3.165,20
105,Spring 2022,3.0,12
105,Spring 2023,2.775,20
106,Fall 2021,3.0,13
106,Fall 2022,2.753,15
106,Fall 2023,3.176,21
106,Fall 2024,2.786,14
106,Spring 2021,3.513,15
106,Spring 2022,3.24,20
106,Spring 2023,2.646,13
106,Spring 2024,3.3,17
107,Fall 2020,3.29,20
107,Fall 2021,3.174,19
107,Fall 2022,3.071,17
107,Fall 2023,3.5,14
107,Spring 2020,3.332,22
107,Spring 2021,3.165,20
107,Spring 2022,3.077,13
107,Spring 2023,3.0,16
108,Fall 2022,2.929,17
108,Fall 2023,2.84,15
108,Fall 2024,3.071,17
108,Fall 2025,2.871,14
108,Spring 2022,3.183,18
108,Spring 2023,3.179,14
108,Spring 2024,2.678,18
108,Spring 2025,2.871,14
109,Fall 2020,2.85,20
109,Fall 2021,2.586,14
109,Fall 2022,3.0,14
109,Fall 2023,2.395,20
109,Spring 2020,2.595,22
109,Spring 2021,2.231,13
109,Spring 2022,2.333,24
109,Spring 2023,2.525,16
110,Fall 2021,2.376,21
110,Fall 2022,2.7,15
110,Fall 2023,2.825,12
110,Fall 2024,2.786,14
110,Spring 2021,3.067,18
110,Spring 2022,3.064,14
110,Spring 2023,2.862,13
110,Spring 2024,3.129,14
111,Fall 2020,3.736,22
111,Fall 2021,3.8,14
111,Fall 2022,3.806,17
111,Fall 2023,3.85,14
111,Spring 2020,4.0,12
111,Spring 2021,3.936,14
111,Spring 2022,3.782,17
111,Spring 2023,3.862,13
112,Fall 2022,3.683,23
112,Fall 2023,3.769,13
112,Fall 2024,3.21,20
112,Fall 2025,3.544,18
112,Spring 2022,3.685,20
112,Spring 2023,3.479,14
112,Spring 2024,3.841,17
112,Spring 2025,3.52,20
113,Fall 2020,3.608,13
113,Fall 2021,3.723,22
113,Fall 2022,3.681,21
113,Fall 2023,3.665,20
113,Spring 2020,3.533,21
113,Spring 2021,3.564,14
113,Spring 2022,3.605,20
113,Spring 2023,3.55,16
114,Fall 2022,3.322,18
114,Fall 2023,3.256,18
114,Fall 2024,3.5,14
114,Fall 2025,3.141,17
114,Spring 2022,3.679,19
114,Spring 2023,2.961,18
114,Spring 2024,3.35,22
114,Spring 2025,3.573,22
115,Fall 2022,3.0,12
115,Fall 2023,3.175,12
115,Fall 2024,2.825,12
115,Fall 2025,3.131,16
115,Spring 2022,3.189,19
115,Spring 2023,3.0,13
115,Spring 2024,3.0,13
115,Spring 2025,3.169,16
116,Fall 2021,1.778,18
116,Fall 2022,1.86,15
116,Fall 2023,1.533,15
116,Fall 2024,1.6,18
116,Spring 2021,2.064,14
116,Spring 2022,1.711,18
116,Spring 2023,1.608,13
116,Spring 2024,1.771,17
117,Fall 2022,3.415,13
117,Fall 2023,2.629,14
117,Fall 2024,2.675,12
